known_beta,original_n,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.5,1000,03,lambda_under,0.10442733651795452,0.2792686556833675,0.02871061176192522
-0.5,1000,04,lambda_trimmed,0.4676570106127291,0.22935943028762942,0.17776002085853393
-0.5,1000,04,lambda_under,0.157180757359148,0.3738646022659175,0.05807892419631448
-0.25,1000,01,lambda_trimmed,0.06254180997997423,0.01680451879738784,0.01368410028028392
-0.25,1000,01,lambda_under,0.03868176057142267,0.01767840705513002,0.010660426465703242
-0.25,1000,02,lambda_trimmed,0.097748967620843355,0.026453826929771426,0.038019001928357374
-0.25,1000,02,lambda_under,0.03430545983821209,0.07230105172113128,0.010471589145264422
-0.25,1000,03,lambda_trimmed,0.158229074264649,0.04287575981840737,0.04700017302429586
-0.25,1000,03,lambda_under,0.04575764792628684,0.13607017357217932,0.014463836458473907
-0.25,1000,04,lambda_trimmed,0.2674525984851829,0.08672628212799957,0.09957291405491309
-0.25,1000,04,lambda_under,0.08299172363088794,0.18270148835738842,0.028966275902857604
-0.1,1000,01,lambda_trimmed,0.06019948142415335,0.012276207769126982,0.012179315249200014
-0.1,1000,01,lambda_under,0.035593700899647446,0.008940680452785829,0.007337557125815494
-0.1,1000,02,lambda_trimmed,0.08944299467748153,0.01940689858317316,0.01878502539763277
-0.1,1000,02,lambda_under,0.03247901492876996,0.029171815025715336,0.009585940316759732
-0.1,1000,03,lambda_trimmed,0.13879459928079743,0.03211639535396127,0.033806944396421776
-0.1,1000,03,lambda_under,0.038246712388784423,0.055617087504723495,0.01172019353092775
-0.1,1000,04,lambda_trimmed,0.22425910820729522,0.05158662076144832,0.053946292337636585
-0.1,1000,04,lambda_under,0.06906900710152172,0.07157365521838377,0.02158486039619036
0,1000,01,lambda_trimmed,0.060326920099363385,0.011438208730037137,0.012067418291307733
0,1000,01,lambda_under,0.03726871371658905,0.006741506178491013,0.005897098351478335
0,1000,02,lambda_trimmed,0.09275990863375685,0.0179265903004961,0.020112276557871372
0,1000,02,lambda_under,0.032340877969603325,0.006361043264607477,0.0054960890572573265
0,1000,03,lambda_trimmed,0.1316775456099553,0.0283570208008556,0.030541275734668933
0,1000,03,lambda_under,0.03522329717029899,0.007757016146407201,0.006272562596221706
0,1000,04,lambda_trimmed,0.2212168363136907,0.040587170905873375,0.05743811313841247
0,1000,04,lambda_under,0.06394900500380034,0.012811453486705452,0.011797731709409913
-0.5,5000,01,lambda_trimmed,0.07562713472078686,0.02827766147062802,0.13464335974334807
-0.5,5000,01,lambda_under,0.02360323506050782,0.031208268973578507,0.008585408708173762
-0.5,5000,02,lambda_trimmed,0.12151271339669475,0.04843942872028931,0.1502063313705399
-0.5,5000,02,lambda_under,0.044011467886903854,0.13783908498570188,0.01142275437588787
-0.5,5000,03,lambda_trimmed,0.17194829041405063,0.08163553832229178,0.14698660945091832
-0.5,5000,03,lambda_under,0.07025413928955411,0.25854059079466607,0.018131879249453312
-0.5,5000,04,lambda_trimmed,0.28497333967773897,0.13141707155447357,0.15916599207260684
-0.5,5000,04,lambda_under,0.09956027264333495,0.33657083091662043,0.02895019751211157
-0.25,5000,01,lambda_trimmed,0.033791205010183165,0.0068772238561654875,0.00602676018919085
-0.25,5000,01,lambda_under,0.016306617434971193,0.015476352689350534,0.004905917498936413
-0.25,5000,02,lambda_trimmed,0.04976243326023873,0.010732610830287523,0.009642328337558464
-0.25,5000,02,lambda_under,0.019005927711801512,0.06782067778217012,0.004590355046944594
-0.25,5000,03,lambda_trimmed,0.07661364277406635,0.018610158875814534,0.01603228319702708
-0.25,5000,03,lambda_under,0.023446194947195638,0.12473470737656563,0.005654561850896636
-0.25,5000,04,lambda_trimmed,0.12929755622284259,0.03381254501348763,0.0437278838604864
-0.25,5000,04,lambda_under,0.032051210070127595,0.15843897291271497,0.010303765896262303
-0.1,5000,01,lambda_trimmed,0.030662540486789985,0.0063256661627590985,0.005846889230775637
-0.1,5000,01,lambda_under,0.015804491993465092,0.00575461402197977,0.0038601467307180946
-0.1,5000,02,lambda_trimmed,0.049285049423632044,0.009942808635334685,0.0088735728986874
-0.1,5000,02,lambda_under,0.014254935647782616,0.02755938514474554,0.004142193319299654
-0.1,5000,03,lambda_trimmed,0.0729261275783847,0.014212954707716031,0.01656658016445017
-0.1,5000,03,lambda_under,0.014924020571332332,0.050150944378479265,0.00398059662347575
-0.1,5000,04,lambda_trimmed,0.11346530742946109,0.02535867962000657,0.02723516509501215
-0.1,5000,04,lambda_under,0.021272101612908996,0.06326486242808307,0.006125717930587863
0,5000,01,lambda_trimmed,0.03110935405147755,0.0056752210607446466,0.0059173655530043116
0,5000,01,lambda_under,0.015657068819241577,0.003068251420430993,0.002510069471933867
0,5000,02,lambda_trimmed,0.04553391815724167,0.008970048796956023,0.008651138735134638
0,5000,02,lambda_under,0.013625303240351352,0.0030837542247353147,0.0025591393472391296
0,5000,03,lambda_trimmed,0.06874048985309833,0.013674638989205963,0.013358389392379155
0,5000,03,lambda_under,0.013609065372924748,0.0027759202184951415,0.0024631061488911356
0,5000,04,lambda_trimmed,0.12161789807654971,0.02025197098474417,0.025475615593571012
0,5000,04,lambda_under,0.020543104635850434,0.0035570300192479,0.0033564973322475662
