known_beta,cutoff,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.5,0.047,02,lambda_under,0.04594889439768457,0.12977218379808553,0.00601464432237357
-0.5,0.047,03,lambda_trimmed,0.08865991033644835,0.036198055875713786,0.02916750326552001
-0.5,0.047,03,lambda_under,0.07411324833797948,0.2453753252697471,0.008830306533616264
-0.5,0.047,04,lambda_trimmed,0.0948124476289457,0.08307068097371689,0.03989034911761827
-0.5,0.047,04,lambda_under,0.09538250976187379,0.3238400328473554,0.019814245369878563
-0.25,0.047,01,lambda_trimmed,0.05862288093256114,0.01470849729953956,0.01298374773436168
-0.25,0.047,01,lambda_under,0.01681462235722686,0.015506661552435783,0.005090925607893771
-0.25,0.047,02,lambda_trimmed,0.05843149401784391,0.015664151749581884,0.01368281158355686
-0.25,0.047,02,lambda_under,0.018370736515728986,0.06771502173442723,0.0046423815444250355
-0.25,0.047,03,lambda_trimmed,0.0576492830649077,0.01601173914502213,0.0131847792365994
-0.25,0.047,03,lambda_under,0.02316142832069159,0.12543963726643012,0.005436653503313932
-0.25,0.047,04,lambda_trimmed,0.056815162217392884,0.03502713543670602,0.01903419597760816
-0.25,0.047,04,lambda_under,0.031444452994631444,0.15817555932907185,0.009580007668143651
-0.1,0.047,01,lambda_trimmed,0.052637990105128346,0.010289151778812858,0.00911711647534634
-0.1,0.047,01,lambda_under,0.01604103098558314,0.006582217628092593,0.004121875845705723
-0.1,0.047,02,lambda_trimmed,0.051908312645407406,0.010809176814572677,0.008863219593136238
-0.1,0.047,02,lambda_under,0.014195112014357737,0.02793492476673355,0.004143897768928844
-0.1,0.047,03,lambda_trimmed,0.05219738388763924,0.011065129003772857,0.009620274379733331
-0.1,0.047,03,lambda_under,0.014450665776864387,0.050473670023111476,0.004078413802445635
-0.1,0.047,04,lambda_trimmed,0.050265153360015254,0.014866199437445798,0.01185842912225854
-0.1,0.047,04,lambda_under,0.021314646688234323,0.06390088557903584,0.006495215023874997
0,0.047,01,lambda_trimmed,0.0514442262699531,0.010645904270247199,0.00926664399810029
0,0.047,01,lambda_under,0.015417829042446558,0.0029753269779809327,0.0028143459616376204
0,0.047,02,lambda_trimmed,0.050664303292446485,0.009205148594930181,0.008412459643342871
0,0.047,02,lambda_under,0.013760100726344971,0.0025515047539285208,0.0023728419218399734
0,0.047,03,lambda_trimmed,0.05139966020231834,0.009492786785479022,0.008954667095924618
0,0.047,03,lambda_under,0.013738060580087592,0.002537012682713986,0.0023100140267283227
0,0.047,04,lambda_trimmed,0.047670586131763185,0.009126201177604171,0.0082947348047505
0,0.047,04,lambda_under,0.02096863309484082,0.0036513382432538386,0.0035925522794441494
-0.5,0.22,01,lambda_trimmed,0.19514749496099543,0.07727507603818673,0.0766053921894556
-0.5,0.22,01,lambda_under,0.01965816313251678,0.029656474424558404,0.00654890294648482
-0.5,0.22,02,lambda_trimmed,0.18955024538517928,0.08350601344718883,0.0730500629059623
-0.5,0.22,02,lambda_under,0.04615423710006461,0.12980217638942876,0.006255127157272879
-0.5,0.22,03,lambda_trimmed,0.18055574921394585,0.07409033872567322,0.07107133688547654
-0.5,0.22,03,lambda_under,0.07359854204199677,0.24502032605616178,0.009419280059404372
-0.5,0.22,04,lambda_trimmed,0.18626087994516313,0.07052493929406456,0.07361617119276448
-0.5,0.22,04,lambda_under,0.09144600289831084,0.3210395452762883,0.018362993510608744
-0.25,0.22,01,lambda_trimmed,0.10812722375851619,0.02976765515413539,0.02468209730123182
-0.25,0.22,01,lambda_under,0.01623037817500303,0.016031931134179125,0.004892629363491747
-0.25,0.22,02,lambda_trimmed,0.10953325420118745,0.02770296471569851,0.024141637620164934
-0.25,0.22,02,lambda_under,0.01844968298551053,0.06816172178827203,0.004533819482299652
-0.25,0.22,03,lambda_trimmed,0.10664320330572034,0.030975193043287358,0.025881922681897884
-0.25,0.22,03,lambda_under,0.023983006226541044,0.12467698323201107,0.005554946070332664
-0.25,0.22,04,lambda_trimmed,0.10543720243574967,0.030560965478251073,0.025268320009673634
-0.25,0.22,04,lambda_under,0.03304567940826713,0.1589716394962476,0.010708471582720026
-0.1,0.22,01,lambda_trimmed,0.0910048151749737,0.019047199365608176,0.016304194015394784
-0.1,0.22,01,lambda_under,0.015854088905402353,0.006584980632447189,0.004005210227267826
-0.1,0.22,02,lambda_trimmed,0.09314716188422638,0.020259449827018973,0.016637069130522823
-0.1,0.22,02,lambda_under,0.013869092749487874,0.027102141649221208,0.003969213407837992
-0.1,0.22,03,lambda_trimmed,0.08920482183604914,0.018224298918431824,0.017396753449744704
-0.1,0.22,03,lambda_under,0.014620436530699193,0.050192765639057536,0.004024445326905738
-0.1,0.22,04,lambda_trimmed,0.08477992345618694,0.019490946530218385,0.016458324500362914
-0.1,0.22,04,lambda_under,0.022547044434726667,0.06316165680635497,0.0070858611109298805
0,0.22,01,lambda_trimmed,0.08452307621070332,0.016903158910272047,0.014494661022539398
0,0.22,01,lambda_under,0.015958260215034832,0.0028992560910936255,0.002621211690494822
0,0.22,02,lambda_trimmed,0.08535175881967311,0.016001433712995932,0.01508093246626751
0,0.22,02,lambda_under,0.013515874555051474,0.002931582157545307,0.0024881535933280593
0,0.22,03,lambda_trimmed,0.08940990513390465,0.017424932287246238,0.014718631399955901
0,0.22,03,lambda_under,0.014063487171293444,0.002664923496193289,0.0023382821244410804
0,0.22,04,lambda_trimmed,0.08533854059720927,0.016666704390320614,0.014118952853738024
0,0.22,04,lambda_under,0.02157089117559843,0.003909808942168424,0.0034151762517943465
-0.5,1,01,lambda_trimmed,0.3032057917480401,0.12593060024736347,0.12207664697559603
-0.5,1,01,lambda_under,0.020869594755499266,0.027750163935155975,0.006655400254745283
-0.5,1,02,lambda_trimmed,0.311553375256112,0.12819363662314892,0.1325962121761851
-0.5,1,02,lambda_under,0.04832263196933123,0.12308882186144299,0.008834785558747121
-0.5,1,03,lambda_trimmed,0.3103699326596279,0.10663608703154584,0.13654709227526543
-0.5,1,03,lambda_under,0.06979138764723597,0.22869057649800328,0.012249732915804163
-0.5,1,04,lambda_trimmed,0.3271823122274536,0.13182240301068815,0.13386506429752204
-0.5,1,04,lambda_under,0.07781372952594251,0.2994216170668306,0.017641784731627603
-0.25,1,01,lambda_trimmed,0.2186937828348668,0.061937198916709985,0.055285342392633045
-0.25,1,01,lambda_under,0.016709314491592936,0.015592788036990698,0.0049380266838344915
-0.25,1,02,lambda_trimmed,0.22342525339760705,0.06118980715086242,0.06386640653560688
-0.25,1,02,lambda_under,0.019031399784873837,0.06778161334820013,0.004283722122220294
-0.25,1,03,lambda_trimmed,0.2035794409924536,0.05948739874949166,0.05537503576601025
-0.25,1,03,lambda_under,0.022882869059172938,0.12469736700266688,0.0054834134662144745
-0.25,1,04,lambda_trimmed,0.21522135996596498,0.06054356400731872,0.057610644358071214
-0.25,1,04,lambda_under,0.03209686318131809,0.1589557924374832,0.009924248393171357
-0.1,1,01,lambda_trimmed,0.16332211927841278,0.036610256060841895,0.032151940877105725
-0.1,1,01,lambda_under,0.01591138248340894,0.006411097519993865,0.004044410378209091
-0.1,1,02,lambda_trimmed,0.1693957269421143,0.033316773090529904,0.03071738576860995
-0.1,1,02,lambda_under,0.014379299639418891,0.02731067471991809,0.003836912874802087
-0.1,1,03,lambda_trimmed,0.16748557520899118,0.03395551574410867,0.030963489512517647
-0.1,1,03,lambda_under,0.014219243112479522,0.05007968731337932,0.004212642729840047
-0.1,1,04,lambda_trimmed,0.16331960542036292,0.03524918543062463,0.030693073183820516
-0.1,1,04,lambda_under,0.022518099345367915,0.06361806574341487,0.007007902559503016
0,1,01,lambda_trimmed,0.16181507786209698,0.03131630115642647,0.027598600220246974
0,1,01,lambda_under,0.015819952770093244,0.003170288438860451,0.002973100410865613
0,1,02,lambda_trimmed,0.15003593094223736,0.029884872587239982,0.030273691799334854
0,1,02,lambda_under,0.013530237695843933,0.0025210770748024507,0.002536581892693422
0,1,03,lambda_trimmed,0.15694811701845757,0.03086099406993399,0.029675713639055596
0,1,03,lambda_under,0.013824750021296916,0.002754894679173712,0.0023461631345861973
0,1,04,lambda_trimmed,0.1566707405106444,0.028631870737379245,0.026261915994668008
0,1,04,lambda_under,0.0208106651092465,0.004031092647940042,0.0037188079156793554
