known_beta,original_n,bias_level,data_model,median_ci_range,median_abs_bias,sd_abs_bias,n
-0.1,1000,extreme,lambda_trimmed,0.356912816751921,0.07923837438774736,0.10004326603128808,494
-0.1,1000,extreme,lambda_under,0.05882907356184128,0.05462056220233187,0.01789922064514357,494
0,1000,minimal,lambda_trimmed,0.04982323201846414,0.010424628963368012,0.010588690643140683,500
0,1000,minimal,lambda_under,0.035241326732668055,0.006922816775023822,0.006527963801646947,500
0,1000,moderate,lambda_trimmed,0.09296779194975993,0.01762993379413444,0.01689246404521565,500
0,1000,moderate,lambda_under,0.03400951058888149,0.006758906063485547,0.005736526292039091,500
0,1000,strong,lambda_trimmed,0.16327620114805302,0.033038877306477706,0.03670213638955014,500
0,1000,strong,lambda_under,0.03549701106891327,0.007433837928853706,0.006385592849579506,500
0,1000,extreme,lambda_trimmed,0.3517460996375601,0.0597612526522069,0.0797903690751518,496
0,1000,extreme,lambda_under,0.056208981973897426,0.010841319307329681,0.010018606153063159,496
-0.5,5000,minimal,lambda_trimmed,0.20270591132065308,0.09612809644703124,0.17111041982419578,232
-0.5,5000,minimal,lambda_under,0.018958039537796983,0.008647594049828011,0.0056759477805975915,232
-0.5,5000,moderate,lambda_trimmed,0.18634627388390196,0.10014479181250807,0.17126578721065472,223
-0.5,5000,moderate,lambda_under,0.03219122667799279,0.09028598506349056,0.005851351258283467,223
-0.5,5000,strong,lambda_trimmed,0.23026392293494308,0.15172875528806246,0.2044442322199443,213
-0.5,5000,strong,lambda_under,0.045976541434116336,0.1997807806828537,0.007810838420900082,213
-0.5,5000,extreme,lambda_trimmed,0.40172485992423257,0.30078059246072986,0.22571080422472403,222
-0.5,5000,extreme,lambda_under,0.03823736897743579,0.22780468298617615,0.013668280774025158,222
-0.25,5000,minimal,lambda_trimmed,0.025115445200412256,0.0053089360762066384,0.004430295837879613,500
-0.25,5000,minimal,lambda_under,0.017093465416593373,0.005254045848933922,0.004085664205750357,500
-0.25,5000,moderate,lambda_trimmed,0.049619150494451245,0.01213453566991754,0.010701917079864882,500
-0.25,5000,moderate,lambda_under,0.016287131899301005,0.047630512822093685,0.004913795848263736,500
-0.25,5000,strong,lambda_trimmed,0.0958419920646627,0.026725719467128484,0.022443167082795992,499
-0.25,5000,strong,lambda_under,0.01996412929732716,0.10413263696163036,0.005378936678267731,499
-0.25,5000,extreme,lambda_trimmed,0.22199116735513363,0.06984836010149312,0.09588621676094503,480
-0.25,5000,extreme,lambda_under,0.026883299305921926,0.11571494845117279,0.009104698354482485,480
-0.1,5000,minimal,lambda_trimmed,0.026240846665363957,0.0050704772560099046,0.004706239555995704,500
-0.1,5000,minimal,lambda_under,0.016855156495714008,0.0035070018255439622,0.003170619362805047,500
-0.1,5000,moderate,lambda_trimmed,0.04720992981921233,0.009584205732257566,0.009228306977592964,500
-0.1,5000,moderate,lambda_under,0.014443350085755702,0.019724145325151196,0.004462553170965475,500
-0.1,5000,strong,lambda_trimmed,0.08464536783987797,0.020249624398980523,0.022015628215455364,500
-0.1,5000,strong,lambda_under,0.014994922730285232,0.04150421748838385,0.004619730439044468,500
-0.1,5000,extreme,lambda_trimmed,0.20937856315355774,0.044014524051932166,0.06600254076605426,498
-0.1,5000,extreme,lambda_under,0.022970690128316262,0.04623297317254249,0.006843013882790851,498
0,5000,minimal,lambda_trimmed,0.02465961502611958,0.0045066329487407075,0.004641022863171706,500
0,5000,minimal,lambda_under,0.01677274025351171,0.0029779723209526513,0.002633577490946284,500
0,5000,moderate,lambda_trimmed,0.04788217690823843,0.009638509205672,0.008512270400893038,500
0,5000,moderate,lambda_under,0.0150483740525872,0.002901270720704953,0.002476348922071917,500
0,5000,strong,lambda_trimmed,0.0899899039385953,0.016277157488417036,0.0193637555197662,500
0,5000,strong,lambda_under,0.014691265669367386,0.0026663021420098324,0.0025076139771330174,500
0,5000,extreme,lambda_trimmed,0.21920131120007394,0.0437915107004434,0.06471993747695566,500
0,5000,extreme,lambda_under,0.02183933913079112,0.0038362957496821323,0.0038256258356127977,500
-0.5,10000,minimal,lambda_trimmed,0.22429130353935456,0.10223414232884631,0.19755783618430264,201
-0.5,10000,minimal,lambda_under,0.013588033520986587,0.009032842040951727,0.004499607712271007,201
