known_beta,original_n,pr_scenario,data_model,median_ci_range,median_abs_bias,sd_abs_bias
-0.1,500,04,lambda_under,0.3013321305748893,0.09376408012506951,0.0845742945782999
0,500,01,lambda_trimmed,0.13944873178687203,0.027398398975364266,0.0294871945732178
0,500,01,lambda_under,0.0960794001804216,0.020308803057076785,0.015621910625840096
0,500,02,lambda_trimmed,0.26536980160257945,0.053532313228722296,0.05472955268678826
0,500,02,lambda_under,0.10057441220480685,0.01931185106015846,0.017376565180566406
0,500,03,lambda_trimmed,0.5002969947561016,0.09857800620091525,0.09983646476217044
0,500,03,lambda_under,0.16187361068172956,0.029475497511123744,0.027144212146856004
0,500,04,lambda_trimmed,0.7283862009770158,0.14605188811179878,0.15861600308634038
0,500,04,lambda_under,0.30651642576728205,0.061362410786321334,0.06354735129450868
-0.5,1000,01,lambda_trimmed,0.10518229207137361,0.036361545892769104,0.027492447453164183
-0.5,1000,01,lambda_under,0.07202253036750209,0.03921725362961298,0.02150698872034286
-0.5,1000,02,lambda_trimmed,0.21329007705671404,0.10981748432450733,0.06588971427440597
-0.5,1000,02,lambda_under,0.06930856734728558,0.1724740211470907,0.022433343846253718
-0.5,1000,03,lambda_trimmed,0.4258615667927658,0.24138802386832928,0.12347511178245882
-0.5,1000,03,lambda_under,0.11362286743069355,0.3247988272722569,0.038099146377338224
-0.5,1000,04,lambda_trimmed,0.666645727268976,0.4852854357603156,0.1822386573668541
-0.5,1000,04,lambda_under,0.2295696074514892,0.42672579780105313,0.0792185007039385
-0.25,1000,01,lambda_trimmed,0.11079974293912596,0.027438394715179726,0.024906110713240275
-0.25,1000,01,lambda_under,0.07146130022721098,0.023034495062810564,0.017116052642271666
-0.25,1000,02,lambda_trimmed,0.21248434387353282,0.06289254938627943,0.04838551583530038
-0.25,1000,02,lambda_under,0.06627523425957116,0.0893811430866036,0.01979824128845286
-0.25,1000,03,lambda_trimmed,0.39886471691089176,0.13120655635592252,0.09405347277482262
-0.25,1000,03,lambda_under,0.10737107867492465,0.16602443628740288,0.034199105987962844
-0.25,1000,04,lambda_trimmed,0.6562362139334905,0.250780834456215,0.16440972915297922
-0.25,1000,04,lambda_under,0.2182452074152643,0.23418335777493032,0.07017169348476456
-0.1,1000,01,lambda_trimmed,0.11117475376362941,0.02075931042794471,0.022914787686287668
-0.1,1000,01,lambda_under,0.06724593146763877,0.01415799672641993,0.012536740791578427
-0.1,1000,02,lambda_trimmed,0.20953711347263465,0.043001978761028126,0.03794116239637095
-0.1,1000,02,lambda_under,0.06619720882705624,0.03433722208562571,0.019007656144335427
-0.1,1000,03,lambda_trimmed,0.37316638689437576,0.08802366323912841,0.08686061502756175
-0.1,1000,03,lambda_under,0.10736167873650196,0.07080085956191788,0.032429936189435134
-0.1,1000,04,lambda_trimmed,0.6373294143827857,0.15833405739336337,0.14008727048432595
-0.1,1000,04,lambda_under,0.2129422259406471,0.0969862641505417,0.0622479360601447
0,1000,01,lambda_trimmed,0.11316695814762544,0.022382060455279476,0.021799535476939125
0,1000,01,lambda_under,0.07154334847874963,0.012611604677131865,0.0112580253691213
0,1000,02,lambda_trimmed,0.2080823640501249,0.038728609894390635,0.041017750000886526
0,1000,02,lambda_under,0.06816696157153604,0.013189377649550256,0.011311320794199877
0,1000,03,lambda_trimmed,0.39243539674039307,0.07372683886499434,0.08821746087995867
0,1000,03,lambda_under,0.10700104193876533,0.02365327628900046,0.02061989844073603
0,1000,04,lambda_trimmed,0.6532826114664642,0.12510907251168998,0.13339948792727957
0,1000,04,lambda_under,0.2118977680344043,0.035018867749025,0.040924455821340674
-0.5,5000,01,lambda_trimmed,0.06600462899452164,0.027477411678151403,0.016213896577629842
-0.5,5000,01,lambda_under,0.03138189777087058,0.03711877371973099,0.00978203272567547
-0.5,5000,02,lambda_trimmed,0.1289021723097818,0.06710727096680202,0.03703591949303097
-0.5,5000,02,lambda_under,0.029574111069072262,0.1598419892691764,0.009447060813733981
-0.5,5000,03,lambda_trimmed,0.24665562947777292,0.14700941906519716,0.0781202191869413
-0.5,5000,03,lambda_under,0.05073209933595865,0.29600470514103194,0.016251400505196672
-0.5,5000,04,lambda_trimmed,0.4920539632644431,0.3156561969291629,0.14312025799621192
-0.5,5000,04,lambda_under,0.1037668351382194,0.3858782759036998,0.03181793943086592
-0.25,5000,01,lambda_trimmed,0.06373426549986627,0.016194647948309243,0.012426371016853614
-0.25,5000,01,lambda_under,0.029680529374540326,0.019208488926650502,0.008494517962490034
-0.25,5000,02,lambda_trimmed,0.1145969376413413,0.034201713045570944,0.026310633501228024
-0.25,5000,02,lambda_under,0.028572253160569022,0.08350227677953194,0.00874968004250878
-0.25,5000,03,lambda_trimmed,0.21173125091963874,0.07860366430207985,0.0509610560242119
-0.25,5000,03,lambda_under,0.047002160696824516,0.1554007337734245,0.015507276207943167
-0.25,5000,04,lambda_trimmed,0.40133991697386157,0.14917916240622298,0.09708064144989487
-0.25,5000,04,lambda_under,0.09837598243772883,0.20830923808769247,0.029575165250038508
-0.1,5000,01,lambda_trimmed,0.0610073466465828,0.012430856114739486,0.012314291897391277
-0.1,5000,01,lambda_under,0.02899583782756282,0.008075775477034482,0.006185663682430382
-0.1,5000,02,lambda_trimmed,0.11317615783453452,0.020425807845295393,0.022141074751229544
-0.1,5000,02,lambda_under,0.0282905222830256,0.033274148393117195,0.008213110798601712
-0.1,5000,03,lambda_trimmed,0.20238222626671387,0.04651662327233735,0.04525083656647383
-0.1,5000,03,lambda_under,0.04797649061290079,0.06261683318810897,0.013786624522800932
-0.1,5000,04,lambda_trimmed,0.37480677468846046,0.08015276758710317,0.07528591176926386
-0.1,5000,04,lambda_under,0.09670537935270945,0.08560273810778495,0.028527036767537033
0,5000,01,lambda_trimmed,0.06355906272645542,0.011360388084609086,0.011404305959151248
0,5000,01,lambda_under,0.029620808185905616,0.006011518700286864,0.004780840709957233
0,5000,02,lambda_trimmed,0.11481075976015767,0.022510305029531358,0.02245725209246697
0,5000,02,lambda_under,0.027672441405832,0.006064217610883084,0.005018356396055605
0,5000,03,lambda_trimmed,0.20089403490608146,0.0349513536214546,0.042446395163916545
0,5000,03,lambda_under,0.046297039228550094,0.009326535877698652,0.008848079204789628
0,5000,04,lambda_trimmed,0.3513115139969102,0.06995567867574241,0.07839618206766248
0,5000,04,lambda_under,0.0982387145935403,0.020301644943756858,0.0159409141447232
