known_beta,cutoff,bias_level,data_model,median_ci_range,median_abs_bias,sd_abs_bias,n
-0.1,3.63,extreme,lambda_under,0.022242447927902025,0.04611472486941716,0.006778343328208085,500
0,3.63,minimal,lambda_trimmed,0.08611403926055569,0.016693128211352964,0.01494343454786793,500
0,3.63,minimal,lambda_under,0.016221991465293663,0.0029385517139468324,0.0027122412462857125,500
0,3.63,moderate,lambda_trimmed,0.08729498830890448,0.016025670098201533,0.015254901561510152,500
0,3.63,moderate,lambda_under,0.014455150602579674,0.003012091842959608,0.002658051328946456,500
0,3.63,strong,lambda_trimmed,0.08947071707721281,0.017792526177158263,0.014873003344825348,500
0,3.63,strong,lambda_under,0.014953029607507454,0.0028836346148716336,0.0025552715632742966,500
0,3.63,extreme,lambda_trimmed,0.08776621532016958,0.017451190651591685,0.014133870538696079,500
0,3.63,extreme,lambda_under,0.021733926501944088,0.0035401109573393106,0.0036597465796663464,500
-0.5,10.1,minimal,lambda_trimmed,1.078312974756081,0.5142045082250413,0.15025171229276818,5
-0.5,10.1,minimal,lambda_under,0.01574508812327191,0.009672547549914534,0.007184125557293446,5
-0.5,10.1,moderate,lambda_trimmed,0.5326353413304291,0.37307028224120636,0.1782568431902529,13
-0.5,10.1,moderate,lambda_under,0.03244585458933813,0.08989847085630359,0.005089717225425358,13
-0.5,10.1,strong,lambda_trimmed,0.687413814116367,0.2266051294861883,0.138627873947475,10
-0.5,10.1,strong,lambda_under,0.036906691587607954,0.19467698011430912,0.005932128628830757,10
-0.5,10.1,extreme,lambda_trimmed,0.7555682815854442,0.2517005632827598,0.14282898636740962,11
-0.5,10.1,extreme,lambda_under,0.03317434435948374,0.21522207930121529,0.01019794107833009,11
-0.25,10.1,minimal,lambda_trimmed,0.4696329468252507,0.13422068420593197,0.13232713209222777,437
-0.25,10.1,minimal,lambda_under,0.016657352432595363,0.005337467237171045,0.0038656232686375036,437
-0.25,10.1,moderate,lambda_trimmed,0.46342013328655635,0.14295369280274822,0.12723126892671333,418
-0.25,10.1,moderate,lambda_under,0.01681745138833049,0.04787640172710558,0.004633944955411796,418
-0.25,10.1,strong,lambda_trimmed,0.46515615494065393,0.14856311117279183,0.12471307778232789,439
-0.25,10.1,strong,lambda_under,0.019761330335166194,0.1034590787950507,0.00511082211108397,439
-0.25,10.1,extreme,lambda_trimmed,0.4479576959277349,0.1273448042410496,0.12886027683055598,420
-0.25,10.1,extreme,lambda_under,0.0249550579498497,0.1150524589062987,0.008492938104890945,420
-0.1,10.1,minimal,lambda_trimmed,0.3623025893263115,0.07754067669792566,0.0691621731762137,500
-0.1,10.1,minimal,lambda_under,0.016648892466889192,0.003559987269076706,0.003081277709288059,500
-0.1,10.1,moderate,lambda_trimmed,0.35657626692792666,0.0703863822413765,0.06906117476620359,500
-0.1,10.1,moderate,lambda_under,0.015453798503223454,0.018907710006888512,0.004150969967449637,500
-0.1,10.1,strong,lambda_trimmed,0.35136994098487406,0.07326527465910745,0.07062860113519391,500
-0.1,10.1,strong,lambda_under,0.015032598701464991,0.04201938746793417,0.004561785736699,500
-0.1,10.1,extreme,lambda_trimmed,0.3517027300353034,0.07668018691176082,0.07099806653160232,500
-0.1,10.1,extreme,lambda_under,0.02192028377659193,0.04601863800352153,0.006985150692169139,500
0,10.1,minimal,lambda_trimmed,0.33081663443913667,0.07035211494204091,0.06014771439902459,500
0,10.1,minimal,lambda_under,0.016157250135560783,0.0031996903969069646,0.0030619637334792513,500
0,10.1,moderate,lambda_trimmed,0.3216966463866108,0.06025730167100781,0.055258925170404975,500
0,10.1,moderate,lambda_under,0.014726300338189311,0.002793091996775709,0.00261781612769939,500
0,10.1,strong,lambda_trimmed,0.32195205606272914,0.061783843517535436,0.057087279864081124,500
0,10.1,strong,lambda_under,0.01479039837128205,0.0029399495541252733,0.002607197450731057,500
0,10.1,extreme,lambda_trimmed,0.34394324915962327,0.06282472428673208,0.05625571800756316,500
0,10.1,extreme,lambda_under,0.02142168653724648,0.00391124215034298,0.0037194465304915387,500
